subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
LITTLE COLORADO RIVER PLATEAU,8,4.458226517779136,0.8903220583655184,3.5511687564686762,5.441518409246959,14
PARIA,8,4.662567933589874,0.9641997277887826,3.8280315902922504,5.785624588070596,14
GRAND WASH,8,4.546154887694924,0.9765544776364669,3.780834887081653,5.59505971564151,14
COCONINO PLATEAU,8,4.5173799670115065,0.9334509925777066,3.626929993993603,5.504728188087928,14
HUALAPAI VALLEY INA,8,4.448724920610082,0.9320209340381556,3.6735084498054817,5.437364450542085,14
MEADVIEW,8,4.4678454771745715,0.9473909747281887,3.7146421906807836,5.483357292001176,14
DETRITAL VALLEY,8,4.43665579027724,0.9516901475031645,3.724508176060194,5.418773909125587,14
LAKE MOHAVE,8,4.47658702041531,0.964738406075522,3.749073762868069,5.4772141106880765,14
PEACH SPRINGS,8,4.4815768613939815,0.9377089620388342,3.653718678113411,5.470182431224152,14
VERDE RIVER,8,4.383739271581788,0.9326392190329909,3.3881913900368508,5.383870832254363,14
BIG SANDY,8,4.396966788936522,0.9223737189866753,3.5394400329995737,5.341154771620359,14
SACRAMENTO VALLEY,8,4.33125018745673,0.9077094417177333,3.5622264176748697,5.242796363494695,14
JOSEPH CITY INA,8,4.372542916438093,0.8866914115626726,3.445983810231485,5.287460608776507,14
BILL WILLIAMS,8,4.319141561321269,0.913489485299536,3.464551366928325,5.2196640562423084,14
PRESCOTT AMA,8,4.362625824206611,0.9386633040603275,3.3929230407433253,5.36071545905248,14
LAKE HAVASU,8,4.34176011868155,0.9334925389975437,3.6223421653012533,5.258483647080965,14
AGUA FRIA,8,4.347732644257583,0.9396921840495813,3.333465793677994,5.384067289985643,14
UPPER HASSAYAMPA,8,4.287412939626078,0.9167428734879326,3.345608142538017,5.2700829770696735,14
TONTO CREEK,8,4.26064384462297,0.9136667305011024,3.222167309737158,5.2913215322767195,14
SALT RIVER,8,4.177282591036163,0.8749675404990499,3.1554248220248513,5.163435857746158,14
PARKER,8,4.260135840403792,0.9187799426216141,3.5006190725017614,5.125438701057602,14
BUTLER VALLEY,8,4.199165963147721,0.9022944074416381,3.440714875801959,5.076034829497187,14
MCMULLEN VALLEY,8,4.248260040999278,0.9063961571175587,3.4475318815969387,5.1153715544320395,14
PHOENIX AMA,8,4.145901404032946,0.8902021220194507,3.3486929783258876,5.062989667238815,14
RANEGRAS PLAIN,8,4.208671232706254,0.9047185703663182,3.4381267029770695,5.065538956661726,14
MORENCI,8,4.221589012936921,0.8876920750014724,3.145110912811872,5.250120052277643,14
HARQUAHALA INA,8,4.16376303366535,0.8977314273708242,3.3963186364785836,5.0140867576046,14
SAFFORD,8,4.136685133567311,0.9220088996233095,3.060287067151391,5.223436243995843,14
LOWER GILA,8,4.017137743081935,0.8814874610725709,3.2032878800441464,4.812584856685269,14
BONITA CREEK,8,4.200727649510388,0.9072442801601444,3.1147490062429606,5.2735673670695755,14
LOWER SAN PEDRO,8,4.047600884921355,0.9203200375836688,3.0842553315878583,5.0972682903219315,14
PINAL AMA,8,4.01130158808842,0.8911586880755239,3.228622390054578,4.962486715795745,14
DRIPPING SPRING WASH,8,4.057962805041328,0.8872387283653368,3.126399187355048,5.07542225877394,14
GILA BEND,8,3.9985031881166093,0.8691567572662301,3.2643907795614893,4.838810975378311,14
DONNELLY WASH,8,4.017152166870127,0.8898846592725895,3.14398460494377,5.005325968614695,14
DUNCAN VALLEY,8,4.168262247048076,0.9154075234814094,3.0684517254671873,5.266926405694067,14
ARAVAIPA CANYON,8,4.054015681206288,0.9047757225144404,3.081483170262643,5.097290051479399,14
YUMA,8,4.02904774059584,0.882620360959038,3.125876659173383,4.853547192725941,14
TUCSON AMA,8,3.973795911122541,0.9073523457175153,3.116419537738954,4.996599165644454,14
WILLCOX AMA,8,4.025393329686084,0.9158291464773812,2.9633309484340207,5.111387855694914,14
SAN SIMON WASH,8,3.914217414259632,0.8861046996107411,3.1007518319224374,4.846017099211574,14
UPPER SAN PEDRO,8,3.9673042473151523,0.9146139569561144,2.9703038432370086,5.050259094184621,14
WESTERN MEXICAN DRAINAGE,8,3.877453694001957,0.872595308910559,3.018689402199172,4.66357876629634,14
CIENEGA CREEK,8,3.971275892972405,0.9152080567463661,3.0192533164134168,5.033532456937632,14
DOUGLAS AMA,8,3.959188073722147,0.9201272839019601,2.9434596574305787,5.071350762174093,14
SANTA CRUZ AMA,9,4.129277000790336,0.9485675721657628,3.5355600229377675,4.96646534210251,14
