subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
TIGER WASH,8,-0.11792092807434651,0.3137113736817378,-0.42272111142140634,0.29083180348323584,14
VIRGIN RIVER,8,-0.21165033406836523,0.4471668348142044,-0.6669788278706207,0.2256584541795833,14
SHIVWITS PLATEAU,8,-0.29725200581610983,0.5313076907005742,-0.9465959884285221,0.45871475684192975,14
KANAB PLATEAU,8,-0.23180711733406925,0.48606563959335347,-0.7299972663226947,0.4298804258706956,14
LITTLE COLORADO RIVER PLATEAU,8,-0.1924661352723682,0.3905287489405492,-0.5701143679710845,0.3857468642904743,14
PARIA,8,-0.18974641194274497,0.3607713406013856,-0.5784802926548198,0.2513101670292368,14
GRAND WASH,8,-0.12963637758886506,0.48843055000737334,-0.6919933530507612,0.4041953845462799,14
COCONINO PLATEAU,8,-0.26214512447116,0.5239372116442607,-0.7473065621895323,0.5238386658820895,14
HUALAPAI VALLEY INA,8,-0.2335991128449301,0.43173105468422734,-0.7283529117964902,0.3166175788519094,14
MEADVIEW,8,-0.17930811417509232,0.3724234459512802,-0.7014531334390223,0.23051598262607217,14
DETRITAL VALLEY,8,-0.031013020998095404,0.2826626891860297,-0.4181988306318851,0.3222993213998227,14
LAKE MOHAVE,8,-0.020443126662748095,0.2213414457022205,-0.3901732785679433,0.24006449954507003,14
PEACH SPRINGS,8,-0.342607009025738,0.5715902249851785,-0.9239549772407918,0.44178374532812986,14
VERDE RIVER,8,-0.6206124536636671,0.7072756089306869,-1.3726393122243985,0.4645036725378998,14
BIG SANDY,8,-0.3212487581301929,0.5703213349879803,-1.0011160826207828,0.5246778207122835,14
SACRAMENTO VALLEY,8,-0.1601888238736246,0.35714408098133354,-0.6194823405197086,0.30285121641298834,14
JOSEPH CITY INA,8,-0.05690342928574761,0.2718222723848936,-0.29149455461862883,0.25502289553520835,14
BILL WILLIAMS,8,-0.3555731225813764,0.467482470000224,-0.883682764823179,0.3601978720799301,14
PRESCOTT AMA,8,-0.5927015550680156,0.7383946125509805,-1.3588181044972438,0.4284870323003449,14
LAKE HAVASU,8,-0.0423116938862203,0.25561867868314525,-0.3676111314512171,0.280007789699415,14
AGUA FRIA,8,-0.6475779486953128,0.5415947967070115,-1.2519496454090497,0.1721292009451749,14
UPPER HASSAYAMPA,8,-0.5225920090504829,0.5939888764825176,-1.2760182982090167,0.3477360677877286,14
TONTO CREEK,8,-0.9048381949654974,0.7459349260808674,-1.8088696901421148,0.11253719900336376,14
SALT RIVER,8,-0.5538986664174896,0.671345757891094,-1.3243398332378535,0.25866749555128055,14
PARKER,8,-0.03493958852151457,0.22830420907016571,-0.2764536462315824,0.2959865414625079,14
BUTLER VALLEY,8,-0.10711073056266082,0.3433922926676878,-0.4784395302769872,0.33959941730934823,14
MCMULLEN VALLEY,8,-0.13957403004722385,0.3272999144198257,-0.4880026520704474,0.3216908463976414,14
PHOENIX AMA,8,-0.19787676222199396,0.3486307669684197,-0.5869827659301201,0.24304950164767752,14
RANEGRAS PLAIN,8,-0.011516870080634442,0.2629581244651846,-0.30321806124140543,0.30470180160713095,14
MORENCI,8,-0.6090275467860728,0.672193890456443,-1.3959040922127521,0.3501699979012618,14
HARQUAHALA INA,8,0.0041508402705554975,0.2931570824772496,-0.3601056892387598,0.37571014028248995,14
SAFFORD,8,-0.44682316266588634,0.5406248308830933,-1.142585743372859,0.37834847955105017,14
LOWER GILA,8,0.04870538932018948,0.24308360879729807,-0.20309461146235686,0.3285275744470122,14
BONITA CREEK,8,-0.5094290091114618,0.6270559757071329,-1.2936820737068586,0.37942042645499924,14
LOWER SAN PEDRO,8,-0.4334950749540483,0.5751999772104627,-1.119379252013279,0.3893164554081418,14
PINAL AMA,8,-0.08525569458610273,0.39569738962898904,-0.5564225544927586,0.27956062421028993,14
DRIPPING SPRING WASH,8,-0.4803372939837023,0.5921430897241992,-1.1224211944800335,0.37232239576774084,14
